share_code,company,english_name,address,shortname,legal_person,security,registrated_fund,Principal activities,post code,telephone,fax,website,listed time,prospectus time,Circulation,issue time,PE ration,发行方式,主承销商,上市推荐人,保荐机构
000001,平安银行股份有限公司,"Ping An Bank Co., Ltd.",广东省深圳市罗湖区深南东路5047号,平安银行,谢永林,周强,"1,717,041.1366",货币金融服务,518001,0755-82080387,0755-82080386,www.bank.pingan.com,1991-04-03,1989-03-10,68,40, ,公开招募,深圳经济特区证券公司 ,深圳国际信托投资公司 ,中信证券股份有限公司 
000002,万科企业股份有限公司,"China Vanke Co., Ltd.",广东省深圳市盐田区大梅沙环梅路33号万科中心,万科,郁亮,朱旭,"1,103,915.2001",房地产业,518083,0755-25606666,0755-25531696,www.vanke.com,1991-01-29,1988-12-28,"2,800",1, ,申请表抽签限额认购,深圳经济特区证券公司 ,国泰君安证券股份有限公司 深圳经济特区证券公司 ,招商证券股份有限公司 
000004,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co., Ltd.",广东省深圳市南山区中心路（深圳湾段）3333号中铁南方总部大厦503室,国农科技,李林琳,徐文苏,"8,397.6684",医药制造业,518045,0755-83521596,0755-83521727,www.sz000004.cn,1991-01-14,1989-12-23,"1,250",1, ,定向发行, , , 
000005,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,广东省深圳市人民南路发展中心大厦13层,世纪星源,丁芃,罗晓春,"105,853.6842",生态保护和环境治理业,518001,0755-82208888,0755-82207055,www.fountain.com.cn,1990-12-10,1990-03-03,245,10, ,银行储蓄存单方式,中银信托投资公司 , , 
000006,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye (Group) Co., Ltd.",广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,深振业,赵宏伟,杜汛,"134,999.5046",房地产业,518008,0755-25863061,0755-25863012,www.zhenye.com,1992-04-27,1989-08-01,69,10, ,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 , 
000007,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co., Ltd.",广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,全新好,智德宇,陈伟彬,"34,644.8044",房地产业,518049,0755-83280053,0755-83281722, ,1992-04-13,1988-12-01,300,1, ,自办发行,西南证券股份有限公司 , , 
000008,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",北京市海淀区高梁桥斜街59号院1号楼16层1606,神州高铁,王志全,王志刚,"281,832.9809",铁路、船舶、航空航天和其他运输设备制造业,100044,010-56500561,010-56500561,www.shenzhou-gaotie.com,1992-05-07,1989-10-01,100,10, ,自办发行,华泰联合证券有限责任公司 , , 
000009,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",广东省深圳市笋岗东路1002号宝安广场A座28-29层,中国宝安,陈政立,郭山清,"214,934.4971",综合,518020,0755-25170336,"0755-25170300, 25170367",www.chinabaoan.com,1991-06-25,1991-06-14,"6,000",3, ,定向发行, , , 
000010,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co., Ltd.",广东省深圳市宝安区西乡街道宝安桃花源科技创新园主园A栋孵化大楼321-322室,美丽生态,贾明辉,单军,"81,985.4713",土木工程建筑业,518048,0755-33228575,0755-33375373, ,1995-10-27,1993-06-01,"1,100",1, ,定向发行,新时代证券股份有限公司 , , 
000011,深圳市物业发展(集团)股份有限公司,"Shenzhen Properties and Resources Development (Group) Co., Ltd.",广东省深圳市人民南路国贸大厦39、42层,深物业,陈玉刚,范维平,"59,597.9092",房地产业,518014,0755-82211020,"0755-82210610, 82212043",www.szwuye.com.cn,1992-03-30,1991-10-01,"4,150",3.6,14.99,申请表抽签等额认购,深圳国际信托投资公司 ,深圳国际信托投资公司 , 
