1987-12-22,1991-04-03,--,1989-03-10,其他发行方式,20.00,67.5万,40.00,--,2700万,0,49.00,49.00,0.00%,49.00,--,--,000001
1984-05-30,1991-01-29,--,1988-12-28,其他发行方式,1.00,2800万,1.00,--,2800万,0,14.57,14.58,0.01%,14.58,--,--,000002
1986-05-05,1991-01-14,--,1989-12-23,其他发行方式,1.00,500万,1.00,--,500万,0,15.98,15.98,0.01%,15.98,--,--,000004
1989-05-08,1990-12-10,--,1990-02-28,其他发行方式,10.00,245万,10.00,--,2450万,0,18.21,18.21,0.00%,18.21,--,--,000005
1989-05-25,1992-04-27,--,1991-12-01,其他发行方式,1.00,69.0万,10.00,--,690万,0,33.00,38.50,0.42%,40.00,--,--,000006
1983-03-11,1992-04-13,--,1989-01-01,其他发行方式,1.00,300万,1.00,--,300万,0,22.00,24.30,1.23%,26.55,--,--,000007
1989-10-11,1992-05-07,--,1989-10-10,其他发行方式,1.00,1376万,7.90,--,1.09亿,0,19.90,20.65,1.42%,24.00,--,--,000008
1990-10-08,1991-06-25,--,1991-06-01,其他发行方式,1.00,6000万,3.00,--,1.80亿,0,4.30,4.60,0.49%,5.00,--,--,000009
1989-01-09,1995-10-27,--,1989-05-06,其他发行方式,1.00,1100万,1.00,--,1100万,0,15.38,14.08,77.19%,17.98,--,--,000010
1983-01-17,1992-03-30,--,1991-11-01,其他发行方式,1.00,4150万,3.60,--,1.49亿,0,10.00,11.00,1.32%,11.95,--,--,000011
1984-09-10,1992-02-28,--,1991-12-03,其他发行方式,1.00,2030万,3.38,--,6861万,8480万,8.00,10.50,0.68%,10.75,--,--,000012
1987-07-27,1992-06-02,--,1991-12-19,其他发行方式,1.00,1100万,2.38,--,2618万,2518万,14.00,25.00,0.95%,25.85,--,--,000014
1980-10-01,1992-03-27,--,1991-12-17,其他发行方式,1.00,3015万,3.90,--,1.18亿,5500万,8.50,11.85,1.42%,12.80,--,--,000016
1984-08-24,1992-03-31,6.4,1991-12-28,其他发行方式,1.00,3280万,3.75,--,1.23亿,0,11.00,12.90,1.27%,13.00,--,--,000017
1984-04-27,1992-06-16,7.04,1992-01-07,其他发行方式,1.00,1520万,1.50,--,2280万,0,14.50,14.05,4.53%,16.00,--,--,000018
1981-07-30,1992-10-12,--,1992-01-02,其他发行方式,1.00,1940万,2.10,--,4074万,0,15.60,16.15,3.46%,16.60,--,--,000019
1981-12-08,1992-04-28,--,1991-01-16,其他发行方式,1.00,2963万,1.90,--,5630万,6322万,13.00,13.90,2.39%,15.50,--,--,000020
1985-07-04,1994-02-02,9.9,1993-11-22,其他发行方式,1.00,2568万,4.65,359万,1.19亿,1.15亿,8.00,7.90,9.34%,8.15,--,--,000021
1990-07-19,1993-05-05,13.3,1993-02-18,其他发行方式,1.00,4600万,3.10,--,1.43亿,1.38亿,16.50,14.50,3.98%,16.50,--,--,000022
1984-11-16,1993-04-29,11,1993-03-01,其他发行方式,1.00,2530万,3.10,--,7843万,7628万,18.00,16.85,10.17%,19.10,--,--,000023
1986-11-10,1993-06-21,--,1993-03-15,其他发行方式,1.00,2598万,4.18,--,1.09亿,--,13.00,11.80,2.34%,13.70,--,--,000025
1990-03-30,1993-06-03,--,1993-03-10,其他发行方式,1.00,1250万,3.60,--,4500万,0,13.50,14.50,4.04%,15.20,--,--,000026
1993-08-21,1993-09-03,--,1993-04-06,其他发行方式,1.00,1.07亿,3.50,--,3.76亿,3.68亿,11.50,12.60,6.00%,12.80,--,--,000027
1986-08-02,1993-08-09,12.5,1993-05-05,其他发行方式,1.00,3000万,3.50,--,1.05亿,0,9.85,10.10,7.09%,10.30,--,--,000028
1986-07-19,1993-09-15,--,1993-06-21,其他发行方式,1.00,1.12亿,3.80,--,4.26亿,4.10亿,12.00,11.30,4.06%,12.50,--,--,000029
1988-10-06,1993-09-29,9.9,1993-06-28,其他发行方式,1.00,4350万,4.55,--,1.98亿,0,11.50,11.60,5.80%,11.80,--,--,000030
1993-10-08,1993-10-08,11.5,1993-08-08,其他发行方式,1.00,6700万,4.38,--,2.93亿,0,12.00,11.60,6.10%,12.15,--,--,000031
1993-12-04,1993-10-28,10.83,1993-08-12,其他发行方式,1.00,2750万,3.36,--,9240万,8800万,9.40,9.70,9.64%,9.70,--,--,000032
1982-06-01,1994-05-09,10.2,1993-10-18,其他发行方式,1.00,4680万,5.20,736万,2.43亿,2.34亿,7.20,6.76,12.99%,7.20,--,--,000034
1984-12-31,1994-04-08,--,1993-11-24,其他发行方式,1.00,1500万,3.90,--,5850万,5550万,11.50,10.25,63.75%,14.00,--,--,000035
1989-09-11,1994-06-17,10.83,1993-12-13,其他发行方式,1.00,3410万,2.60,366万,8866万,8500万,3.60,3.92,45.72%,4.00,--,0.26%,000036
1990-04-06,1994-07-01,9.64,1994-01-03,其他发行方式,1.00,4000万,4.60,--,1.84亿,0,5.49,4.81,25.46%,5.49,--,--,000037
1987-06-24,1994-08-08,--,1993-12-10,其他发行方式,1.00,1200万,3.68,166万,4416万,4250万,10.00,8.50,33.74%,11.00,--,--,000038
1980-01-14,1994-04-08,--,1994-02-01,其他发行方式,1.00,1200万,8.50,--,1.02亿,9802万,15.50,13.00,44.40%,15.50,--,--,000039
1982-03-23,1994-08-08,9.4,1994-02-18,其他发行方式,1.00,2200万,6.00,1060万,1.32亿,0,10.78,8.65,24.88%,10.78,--,--,000040
1984-09-17,1994-09-21,--,1994-05-26,其他发行方式,1.00,1630万,10.80,937万,1.76亿,1.67亿,24.66,23.38,26.88%,24.80,--,--,000042
1985-05-29,1994-09-28,--,1994-06-06,其他发行方式,1.00,2028万,5.50,414万,1.12亿,1.07亿,13.00,12.45,38.00%,13.10,--,--,000043
