日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,中国平安保险(集团)股份有限公司,保险公司,A股,8258245083,48.81%,不变,--,000001
2017-09-30,中国平安人寿保险股份有限公司,保险公司,A股,1049462784,6.20%,不变,--,000001
2017-09-30,中国证券金融股份有限公司,其它,A股,462172119,2.73%,-90061888,-16.31%,000001
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,216213000,1.28%,不变,--,000001
2017-09-30,深圳中电投资股份有限公司,投资公司,A股,186051938,1.10%,不变,--,000001
2017-09-30,香港中央结算有限公司,其它,A股,155583946,0.92%,新进,--,000001
2017-09-30,深圳市正顺资本控股有限公司,其它,A股,106686426,0.63%,不变,--,000001
2017-09-30,深圳市地铁集团有限公司,其它,A股,3242810791,29.42%,413005395,14.59%,000002
2017-09-30,深圳市钜盛华股份有限公司,其它,A股,926070472,8.40%,不变,--,000002
2017-09-30,深圳中农大科技投资有限公司,投资公司,A股,23864667,28.77%,不变,--,000004
2017-09-30,中科汇通(深圳)股权投资基金有限公司,投资公司,A股,9518376,11.47%,不变,--,000004
2017-09-30,北京紫光通信科技集团有限公司,其它,A股,1954194,2.36%,862200,78.96%,000004
2017-09-30,紫光集团有限公司,其它,A股,778491,0.94%,-418300,-34.95%,000004
2017-09-30,中国投资有限公司,投资公司,A股,184240445,19.37%,不变,--,000005
2017-09-30,深圳市城市建设开发(集团)有限公司,其它,A股,18281900,1.92%,-10480087,-36.44%,000005
2017-09-30,深圳市博睿意碳源科技有限公司,其它,A股,7088597,0.75%,不变,--,000005
2017-09-30,新疆盘古大业股权投资有限合伙企业,投资公司,A股,6575342,0.69%,不变,--,000005
2017-09-30,浙江赛盛投资合伙企业(有限合伙),投资公司,A股,5260274,0.55%,不变,--,000005
2017-09-30,杭州钱江中小企业创业投资有限公司,投资公司,A股,4331000,0.46%,不变,--,000005
2017-09-30,上海泽添资产管理中心(有限合伙)-泽熙投资基金1号私募投资基金,投资公司,A股,4149516,0.44%,不变,--,000005
2017-09-30,深圳市人民政府国有资产监督管理委员会,其它,A股,296031373,22.01%,不变,--,000006
2017-09-30,深圳市远致投资有限公司,投资公司,A股,162966811,12.11%,不变,--,000006
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,47368200,3.52%,不变,--,000006
2017-09-30,北京泓钧资产管理有限公司,其它,A股,46858500,15.17%,不变,--,000007
2017-09-30,深圳前海圆融通达投资企业(有限合伙),投资公司,A股,25708327,8.32%,不变,--,000007
2017-09-30,北京朴和恒丰投资有限公司,投资公司,A股,10681711,3.46%,新进,--,000007
2017-09-30,广州博融投资有限公司,投资公司,A股,6046839,1.96%,不变,--,000007
2017-09-30,北京电子城有限责任公司,其它,A股,3615000,1.17%,不变,--,000007
2017-09-30,北京市海淀区国有资产投资经营有限公司,投资公司,A股,350000000,17.60%,不变,--,000008
2017-09-30,杭州霁云投资管理合伙企业(有限合伙),投资公司,A股,141534348,7.12%,新进,--,000008
2017-09-30,北京银叶金光投资合伙企业(有限合伙),投资公司,A股,140000000,7.04%,不变,--,000008
2017-09-30,北京国润贵真创业投资中心(有限合伙),投资公司,A股,70000000,3.52%,不变,--,000008
2017-09-30,上海豪石九鼎股权投资基金合伙企业(有限合伙),投资公司,A股,46676226,2.35%,不变,--,000008
2017-09-30,深圳市富安控股有限公司,其它,A股,256013898,12.08%,不变,--,000009
2017-09-30,深圳市宝安区投资管理有限公司,投资公司,A股,119787377,5.65%,不变,--,000009
2017-09-30,浙江诸暨华恒投资管理有限公司,投资公司,A股,9903300,0.47%,28300,0.29%,000009
2017-09-30,深圳市荣超投资发展有限公司,投资公司,A股,7638727,0.36%,新进,--,000009
2017-09-30,信达投资有限公司,投资公司,A股,29498232,5.65%,-4592647,-13.47%,000010
2017-09-30,新余瑞达投资有限公司,投资公司,A股,27203185,5.21%,不变,--,000010
2017-09-30,拉萨鑫宏雅投资咨询有限公司,其它,A股,15017000,2.88%,317000,2.16%,000010
2017-09-30,宁波市星通投资管理有限公司,投资公司,A股,14275000,2.73%,-8196910,-36.48%,000010
2017-09-30,中国证券金融股份有限公司,其它,A股,3472621,0.67%,不变,--,000010
2017-09-30,深圳市建设投资控股公司,投资公司,A股,29798954,12.24%,不变,--,000011
2017-09-30,深圳市钜盛华股份有限公司,其它,A股,68484938,2.87%,8932818,15.00%,000012
