日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,HKSCC NOMINEES LIMITED,其它,H股,1314910949,11.93%,2200,0.00%,000002
2017-06-30,HKSCC NOMINEES LIMITED,其它,H股,1314908749,11.93%,-22600,0.00%,000002
2017-03-31,HKSCC NOMINEES LIMITED,其它,H股,1314931349,11.93%,-1000,0.00%,000002
2016-12-31,HKSCC NOMINEES LIMITED,其它,H股,1314932349,11.93%,208894,0.02%,000002
2016-09-30,HKSCC NOMINEES LIMITED,其它,H股,1314723455,11.93%,-203100,-0.02%,000002
2017-09-30,BBH A/C VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,15272911,0.64%,1992119,15.00%,000012
2017-06-30,BBH A/C VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,13280792,0.64%,不变,--,000012
2017-03-31,BBH A/C VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,13280792,0.64%,不变,--,000012
2016-12-31,BBH A/C VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,13280792,0.64%,新进,--,000012
2017-09-30,HOLY TIME GROUP LIMITED,其它,B股,56049824,2.33%,不变,--,000016
2017-09-30,"GAOLING FUND,L.P.",其它,B股,52801250,2.19%,不变,--,000016
2017-09-30,CSI Capital Management Limited,其它,B股,20050928,0.83%,不变,--,000016
2017-06-30,HOLY TIME GROUP LIMITED,其它,B股,56049824,2.33%,不变,--,000016
2017-06-30,"GAOLING FUND,L.P.",其它,B股,52801250,2.19%,不变,--,000016
2017-06-30,CSI Capital Management Limited,其它,B股,20050928,0.83%,不变,--,000016
2017-03-31,HOLY TIME GROUP LIMITED,其它,B股,56049824,2.33%,不变,--,000016
2017-03-31,"GAOLING FUND,L.P.",其它,B股,52801250,2.19%,不变,--,000016
2017-03-31,CSI Capital Management Limited,其它,B股,20050928,0.83%,不变,--,000016
2016-12-31,HOLY TIME GROUP LIMITED,其它,B股,56049824,2.33%,77900,0.14%,000016
2016-12-31,"GAOLING FUND,L.P.",其它,B股,52801250,2.19%,不变,--,000016
2016-12-31,CSI Capital Management Limited,其它,B股,20050928,0.83%,不变,--,000016
2016-09-30,HOLY TIME GROUP LIMITED,其它,B股,55971924,2.32%,不变,--,000016
2016-09-30,"GAOLING FUND,L.P.",其它,B股,52801250,2.19%,不变,--,000016
2016-09-30,CSI Capital Management Limited,其它,B股,20050928,0.83%,不变,--,000016
2017-09-30,STYLE-SUCCESS LIMITED,其它,B股,92970910,9.14%,不变,--,000018
2017-06-30,STYLE-SUCCESS LIMITED,其它,B股,92970910,9.14%,不变,--,000018
2017-03-31,STYLE-SUCCESS LIMITED,其它,B股,92970910,9.14%,不变,--,000018
2016-12-31,STYLE-SUCCESS LIMITED,其它,B股,92970910,9.14%,不变,--,000018
2016-09-30,STYLE-SUCCESS LIMITED,其它,B股,92970910,14.48%,不变,--,000018
2016-09-30,KGI ASIA LIMITED,证券公司,B股,4691274,0.73%,-300000,-6.01%,000018
2017-09-30,GOOD HOPE CORNER INVESTMENTS LTD,投资公司,B股,12700000,4.49%,不变,--,000020
2017-06-30,GOOD HOPE CORNER INVESTMENTS LTD,投资公司,B股,12700000,4.49%,不变,--,000020
