日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,中国平安人寿保险股份有限公司-传统-普通保险产品,保险产品,A股,389735963,2.30%,不变,--,000001
2017-09-30,南方基金-农业银行-南方中证金融资产管理计划,基金资产管理计划,A股,63731160,0.38%,不变,--,000001
2017-09-30,中欧基金-农业银行-中欧中证金融资产管理计划,基金资产管理计划,A股,63731160,0.38%,不变,--,000001
2017-09-30,国信证券-工商银行-国信金鹏分级1号集合资产管理计划,集合理财计划,A股,456993190,4.15%,不变,--,000002
2017-09-30,前海人寿保险股份有限公司-海利年年,保险产品,A股,349776441,3.17%,不变,--,000002
2017-09-30,招商财富-招商银行-德赢1号专项资产管理计划,基金资产管理计划,A股,329352920,2.99%,不变,--,000002
2017-09-30,安邦财产保险股份有限公司-传统产品,保险产品,A股,258167403,2.34%,不变,--,000002
2017-09-30,安邦人寿保险股份有限公司-保守型投资组合,保险产品,A股,243677851,2.21%,不变,--,000002
2017-09-30,西部利得基金-建设银行-西部利得金裕1号资产管理计划,基金资产管理计划,A股,225494379,2.05%,不变,--,000002
2017-09-30,前海人寿保险股份有限公司-聚富产品,保险产品,A股,218081383,1.98%,新进,--,000002
2017-09-30,国华人寿保险股份有限公司-万能三号,保险产品,A股,4208900,5.07%,不变,--,000004
2017-09-30,中银国际证券-中国银行-中银证券中国红-汇中2号集合资产管理计划,集合理财计划,A股,2106237,2.54%,新进,--,000004
2017-09-30,中银国际证券-中国银行-中银证券中国红-汇中1号集合资产管理计划,集合理财计划,A股,2000167,2.41%,新进,--,000004
2017-09-30,中国农业银行股份有限公司-易方达瑞惠灵活配置混合型发起式证券投资基金,证券投资基金,A股,14598400,1.09%,不变,--,000006
2017-09-30,中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金,证券投资基金,A股,6167272,0.46%,1000000,19.35%,000006
2017-09-30,南方基金-建设银行-中国人寿-中国人寿委托南方基金混合型组合,基金资产管理计划,A股,4302904,0.32%,新进,--,000006
2017-09-30,华宝信托有限责任公司-“华宝丰进”32号单一资金信托,信托计划,A股,13808127,4.47%,不变,--,000007
2017-09-30,陕西省国际信托股份有限公司-陕国投·持盈5号证券投资集合资金信托计划,信托计划,A股,3737574,1.21%,-606300,-13.96%,000007
2017-09-30,长安国际信托股份有限公司-长安信托-长安投资670号证券投资集合资金信托计划,信托计划,A股,41640500,2.09%,不变,--,000008
2017-09-30,华润深国投信托有限公司-润之信18期集合资金信托计划,信托计划,A股,40509700,2.04%,新进,--,000008
2017-09-30,平安大华基金-平安银行-平安大华平安金橙财富102号资产管理计划,基金资产管理计划,A股,38822185,1.95%,不变,--,000008
2017-09-30,鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划,基金资产管理计划,A股,38417853,1.93%,952200,2.54%,000008
2017-09-30,华鑫国际信托有限公司-华鑫信托·价值回报23号证券投资集合资金信托计划,信托计划,A股,5729538,0.27%,新进,--,000009
2017-09-30,湖南省信托有限责任公司-南金5号集合资金信托计划,信托计划,A股,9808499,1.88%,新进,--,000010
2017-09-30,湖南省信托有限责任公司-南金1号集合资金信托计划,信托计划,A股,8452017,1.62%,5853417,225.25%,000010
2017-09-30,云南国际信托有限公司-云南信托·聚鑫弘扬5号集合资金信托计划,信托计划,A股,7503200,1.44%,新进,--,000010
2017-09-30,长安国际信托股份有限公司-长安信托-长安投资591号证券投资集合资金信托计划,信托计划,A股,5698300,1.09%,新进,--,000010
2017-09-30,前海人寿保险股份有限公司-海利年年,保险产品,A股,368685276,15.45%,48089384,15.00%,000012
2017-09-30,前海人寿保险股份有限公司-万能型保险产品,保险产品,A股,93616606,3.92%,12210862,15.00%,000012
2017-09-30,华润深国投信托有限公司-工银量化恒盛精选D类59期集合资金信托计划,信托计划,A股,8800000,4.36%,新进,--,000014
2017-09-30,华宝信托有限责任公司-交银盛通精选集合资金信托计划A类1期,信托计划,A股,2540000,1.26%,1190000,88.15%,000014
2017-09-30,华鑫国际信托有限公司-华鑫信托·价值回报5号证券投资集合资金信托计划,信托计划,A股,989900,0.49%,新进,--,000014
2017-09-30,云南国际信托有限公司-聚利48号单一资金信托,信托计划,A股,20216860,0.84%,不变,--,000016
2017-09-30,华宝信托有限责任公司-“辉煌”33号单一资金信托,信托计划,A股,9024079,1.64%,新进,--,000017
2017-09-30,中融国际信托有限公司-中融-鼎福12号结构化证券投资集合资金信托计划,信托计划,A股,4774300,0.87%,1052700,28.29%,000017
2017-09-30,中融国际信托有限公司-中融-鼎福13号结构化证券投资集合资金信托计划,信托计划,A股,4770923,0.87%,不变,--,000017
2017-09-30,中融国际信托有限公司-中融-鼎福14号结构化证券投资集合资金信托计划,信托计划,A股,4547797,0.82%,不变,--,000017
2017-09-30,中融国际信托有限公司-中融-鼎福11号结构化证券投资集合资金信托计划,信托计划,A股,4464844,0.81%,新进,--,000017
2017-09-30,中国银行-海富通收益增长证券投资基金,证券投资基金,A股,16558178,1.63%,-2403142,-12.67%,000018
2017-09-30,国民信托有限公司-金汇2号集合资金信托计划,信托计划,A股,8270000,0.81%,新进,--,000018
2017-09-30,厦门国际信托有限公司-鑫金七号证券投资集合资金信托计划,信托计划,A股,1755291,0.38%,-76000,-4.15%,000019
2017-09-30,中国建设银行股份有限公司-融通互联网传媒灵活配置混合型证券投资基金,证券投资基金,A股,2794139,0.99%,560261,25.08%,000020
2017-09-30,中国建设银行股份有限公司-融通领先成长混合型证券投资基金(LOF),证券投资基金,A股,1536962,0.54%,-74292,-4.61%,000020
2017-09-30,全国社保基金一零五组合,全国社保基金,A股,10084111,0.69%,1015585,11.20%,000021
2017-09-30,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,证券投资基金,A股,3139564,0.21%,-176400,-5.32%,000021
2017-09-30,九泰基金-广发银行-昆仑分级1号资产管理计划,基金资产管理计划,A股,3622565,2.61%,不变,--,000023
2017-09-30,九泰基金-广发银行-九泰基金-永乐分级2号资产管理计划,基金资产管理计划,A股,3000281,2.16%,不变,--,000023
2017-09-30,华润深国投信托有限公司-润之信13期集合资金信托计划,信托计划,A股,2825753,2.04%,不变,--,000023
2017-09-30,华润深国投信托有限公司-优瑞1期集合资金信托计划,信托计划,A股,1942500,1.40%,不变,--,000023
2017-09-30,重庆国际信托股份有限公司-渝信贰号信托,信托计划,A股,9103318,2.08%,不变,--,000026
2017-09-30,重庆国际信托股份有限公司-融信通系列单一信托10号,信托计划,A股,8502780,1.94%,4632080,119.67%,000026
2017-09-30,泰达宏利基金-民生银行-泰达宏利价值成长定向增发351号资产管理计划,基金资产管理计划,A股,5043559,1.15%,不变,--,000026
2017-09-30,金鹰基金-民生银行-金鹰温氏筠业灵活配置3号资产管理计划,基金资产管理计划,A股,4674329,1.07%,不变,--,000026
2017-09-30,嘉实新机遇灵活配置混合型发起式证券投资基金,证券投资基金,A股,10223657,0.26%,不变,--,000027
2017-09-30,中证500交易型开放式指数证券投资基金,证券投资基金,A股,5081942,0.13%,-282100,-5.26%,000027
2017-09-30,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001深,保险产品,A股,4909763,1.35%,-1544639,-23.93%,000028
2017-09-30,招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金,证券投资基金,A股,4630009,1.28%,200000,4.51%,000028
2017-09-30,新华人寿保险股份有限公司-分红-个人分红-018L-FH002深,保险产品,A股,4199772,1.16%,不变,--,000028
2017-09-30,中华联合财产保险股份有限公司-传统保险产品,保险产品,A股,3279579,0.90%,新进,--,000028
2017-09-30,中国农业银行股份有限公司-易方达瑞惠灵活配置混合型发起式证券投资基金,证券投资基金,A股,9038200,0.70%,不变,--,000030
2017-09-30,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,基金资产管理计划,A股,6078000,0.47%,新进,--,000030
2017-09-30,诚泰财产保险股份有限公司-传统产品,保险产品,A股,13137017,0.72%,1290100,10.89%,000031
2017-09-30,全国社保基金一零九组合,全国社保基金,A股,6535268,0.36%,新进,--,000031
2017-09-30,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,证券投资基金,A股,4660190,0.26%,-250700,-5.10%,000031
2017-09-30,华泰保兴基金-浦发银行-华泰保兴光明1号资产管理计划,基金资产管理计划,A股,4370000,0.24%,463000,11.85%,000031
2017-09-30,交通银行股份有限公司-长信量化先锋混合型证券投资基金,证券投资基金,A股,3522287,1.26%,-2251380,-38.99%,000032
2017-09-30,全国社保基金一零七组合,全国社保基金,A股,2544120,0.91%,不变,--,000032
2017-09-30,中国人民人寿保险股份有限公司-分红-个险分红,保险产品,A股,2056951,0.74%,不变,--,000032
2017-09-30,中国人民人寿保险股份有限公司-万能-个险万能,保险产品,A股,1670513,0.60%,不变,--,000032
2017-09-30,中国银行股份有限公司-富国改革动力混合型证券投资基金,证券投资基金,A股,7004700,1.96%,-7995391,-53.30%,000034
2017-09-30,太平人寿保险有限公司-分红-个险分红,保险产品,A股,4909734,1.37%,不变,--,000034
2017-09-30,全国社保基金一一四组合,全国社保基金,A股,4178652,1.17%,845159,25.35%,000034
2017-09-30,民生加银基金-民生银行-民生加银资产管理有限公司,基金资产管理计划,A股,44709530,3.83%,-100,0.00%,000035
2017-09-30,建信基金-民生银行-民生加银资产管理有限公司,基金资产管理计划,A股,41582494,3.56%,-100,0.00%,000035
2017-09-30,中国工商银行股份有限公司-申万菱信量化小盘股票型证券投资基金(LOF),证券投资基金,A股,3556835,0.31%,新进,--,000036
2017-09-30,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,基金资产管理计划,A股,9566600,0.32%,不变,--,000039
2017-09-30,中欧基金-农业银行-中欧中证金融资产管理计划,基金资产管理计划,A股,9566600,0.32%,不变,--,000039
2017-09-30,博时基金-农业银行-博时中证金融资产管理计划,基金资产管理计划,A股,9566600,0.32%,不变,--,000039
2017-09-30,大成基金-农业银行-大成中证金融资产管理计划,基金资产管理计划,A股,9566600,0.32%,不变,--,000039
2017-09-30,嘉实基金-农业银行-嘉实中证金融资产管理计划,基金资产管理计划,A股,9566600,0.32%,不变,--,000039
2017-09-30,银华基金-农业银行-银华中证金融资产管理计划,基金资产管理计划,A股,9566600,0.32%,不变,--,000039
2017-09-30,前海开源基金-浦发银行-国民信托-国民信托·证通7号单一资金信托,基金资产管理计划,A股,68493150,6.46%,新进,--,000040
2017-09-30,新东吴优胜-广发银行-重庆国际信托股份有限公司,基金资产管理计划,A股,66666666,6.29%,新进,--,000040
2017-09-30,海富通基金-宁波银行-民生信托-中国民生信托·至信167号宝安定增集合资金信托计划,基金资产管理计划,A股,66666666,6.29%,新进,--,000040
2017-09-30,长信基金-浦发银行-聚富10号资产管理计划,基金资产管理计划,A股,66666666,6.29%,新进,--,000040
2017-09-30,鹏华资产-平安银行-鹏华资产锦富1号专项资产管理计划,基金资产管理计划,A股,66210045,6.24%,新进,--,000040
2017-09-30,安信基金-浦发银行-陆家嘴国际信托-汇赢3号集合资金信托计划,信托计划,A股,66210045,6.24%,新进,--,000040
2017-09-30,泰达宏利基金-招商银行-国民信托-国民信托·证通8号单一资金信托计划,基金资产管理计划,A股,66210045,6.24%,新进,--,000040
2017-09-30,国泓资产-宁波银行-西藏信托-鼎证47号单一资金信托,基金资产管理计划,A股,66210045,6.24%,新进,--,000040
2017-09-30,方正富邦基金-民生银行-平安信托-平安财富*汇泰187号单一资金信托,基金资产管理计划,A股,60273978,5.68%,新进,--,000040
2017-09-30,鹏华资产-广发银行-鹏华资产中洲控股员工持股资产管理计划,基金资产管理计划,A股,18306493,3.75%,不变,--,000042
2017-09-30,九泰基金-广发银行-九泰基金-昆泰分级6号资产管理计划,基金资产管理计划,A股,9578630,1.96%,不变,--,000042
2017-09-30,华润深国投信托有限公司-优瑞1期集合资金信托计划,信托计划,A股,9026773,1.85%,不变,--,000042
2017-09-30,中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,基金资产管理计划,A股,8788186,1.80%,206485,2.41%,000042
2017-09-30,鹏华资产-浦发银行-鹏华资产金润25号资产管理计划,基金资产管理计划,A股,6179282,1.27%,211500,3.54%,000042
2017-09-30,南方基金-建设银行-中国人寿-中国人寿委托南方基金混合型组合,基金资产管理计划,A股,4100042,0.61%,新进,--,000043
2017-09-30,德邦创新资本-渤海银行-中融国际信托有限公司,基金资产管理计划,A股,122222222,2.40%,不变,--,000046
2017-09-30,建信基金-兴业银行-华鑫信托-华鑫信托·慧智投资52号结构化集合资金信托计划,信托计划,A股,61476574,1.21%,-13773464,-18.30%,000046
2017-09-30,陕西省国际信托股份有限公司-陕国投·鑫鑫向荣31号证券投资集合资金信托计划,信托计划,A股,11864427,3.08%,不变,--,000048
2017-09-30,前海人寿保险股份有限公司-海利年年,保险产品,A股,2575729,0.67%,新进,--,000048
2017-09-30,中国银行股份有限公司-长盛电子信息产业混合型证券投资基金,证券投资基金,A股,2596685,1.27%,514604,24.72%,000049
2017-09-30,中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金,证券投资基金,A股,2088716,1.02%,50695,2.49%,000049
2017-09-30,全国社保基金四一三组合,全国社保基金,A股,1997895,0.97%,新进,--,000049
2017-09-30,中国银行-华夏回报证券投资基金,证券投资基金,A股,1695545,0.83%,新进,--,000049
2017-09-30,中国工商银行股份有限公司-易方达科翔混合型证券投资基金,证券投资基金,A股,1399054,0.68%,135617,10.73%,000049
2017-09-30,中国银行股份有限公司-上投摩根核心成长股票型证券投资基金,证券投资基金,A股,1267169,0.62%,不变,--,000049
2017-09-30,中国工商银行股份有限公司-国投瑞银稳健增长灵活配置混合型证券投资基金,证券投资基金,A股,1191510,0.58%,-170600,-12.52%,000049
2017-09-30,中国建设银行股份有限公司-易方达国防军工混合型证券投资基金,证券投资基金,A股,1153895,0.56%,新进,--,000049
2017-09-30,平安大华基金-平安银行-深圳平安大华汇通财富管理有限公司,基金资产管理计划,A股,40001351,2.86%,-13870702,-25.75%,000050
2017-09-30,华夏人寿保险股份有限公司-万能保险产品,保险产品,A股,13497017,0.96%,不变,--,000050
2017-09-30,华润深国投信托有限公司-润之信13期集合资金信托计划,信托计划,A股,15383404,1.30%,824200,5.66%,000055
2017-09-30,云南国际信托有限公司-聚信5号集合资金信托计划,信托计划,A股,13229635,1.12%,不变,--,000055
2017-09-30,云南国际信托有限公司-云霞3期证券投资集合资金信托计划,信托计划,A股,8635314,0.73%,不变,--,000055
