日期,股东人数(户),较上期变化(%),人均流通股(股),较上期变化(%),筹码集中度,股价(元),人均持股金额(元),前十大股东持股合计(%),前十大流通股东持股合计(%),公司代码
2017-09-30,33.15万,-12.58,5.1万,14.39,非常集中,11.11,57万,65.25,63.78,000001
2017-06-30,37.92万,2.16,4.5万,-2.11,非常集中,9.39,42万,65.24,63.77,000001
2017-03-31,37.12万,6.28,4.6万,-5.91,非常集中,9.17,42万,65.00,63.53,000001
2017-02-28,34.93万,-0.25,4.8万,15.92,非常集中,9.48,46万,--,--,000001
2016-12-31,35.01万,2.88,4.2万,-2.80,非常集中,9.10,38万,65.18,50.39,000001
2016-09-30,34.03万,-0.06,4.3万,0.06,非常集中,9.07,39万,65.34,50.55,000001
2016-06-30,34.05万,-0.29,4.3万,24.31,非常集中,8.70,37万,65.27,50.49,000001
2016-03-31,34.15万,-1.62,3.5万,1.65,非常集中,10.64,37万,65.55,50.50,000001
2016-02-29,34.71万,4.27,3.4万,-4.10,非常集中,9.56,33万,--,--,000001
2015-12-31,33.29万,-7.02,3.5万,7.55,非常集中,11.99,43万,66.06,50.95,000001
2017-09-30,20.90万,-19.10,5.3万,23.61,非常集中,26.25,138万,68.53,68.53,000002
2017-07-31,25.83万,2.03,4.3万,-1.99,非常集中,23.37,100万,--,--,000002
2017-06-30,25.32万,-22.51,4.4万,29.05,非常集中,24.97,109万,64.92,64.92,000002
2017-03-31,32.67万,-3.71,3.4万,3.86,非常集中,20.58,69万,57.25,57.25,000002
2017-02-28,33.93万,0.96,3.2万,-0.95,非常集中,20.53,67万,--,--,000002
2016-12-31,33.61万,4.52,3.3万,-4.32,非常集中,20.55,67万,57.40,57.40,000002
2016-09-30,32.16万,-41.18,3.4万,70.02,非常集中,26.17,90万,55.31,55.31,000002
2016-07-31,54.67万,100.98,2.0万,-50.24,非常集中,17.14,35万,--,--,000002
2016-06-30,27.20万,-0.02,4.1万,0.05,非常集中,24.43,99万,55.42,55.42,000002
2016-03-31,27.21万,-0.03,4.0万,0.00,非常集中,24.43,99万,55.42,55.42,000002
2017-09-30,1.24万,-24.22,6697.1,31.97,非常集中,24.07,16万,58.00,57.47,000004
2017-06-30,1.63万,57.16,5074.9,-36.37,非常集中,25.65,13万,54.00,53.15,000004
2017-03-31,1.04万,2.58,7975.7,-2.52,非常集中,36.00,29万,53.35,52.50,000004
2016-12-31,1.01万,-20.23,8181.8,25.37,非常集中,44.90,37万,53.89,53.02,000004
2016-09-30,1.27万,10.12,6526.2,-9.19,非常集中,37.46,24万,51.09,50.12,000004
2016-06-30,1.15万,-0.28,7186.5,0.28,非常集中,36.83,26万,52.04,51.14,000004
2016-03-31,1.16万,4.26,7166.7,-4.09,非常集中,36.83,26万,52.04,51.14,000004
2015-12-31,1.11万,-26.02,7472.0,33.71,非常集中,45.90,34万,51.78,50.95,000004
2015-09-30,1.50万,17.06,5588.3,-14.57,非常集中,25.36,14万,51.39,51.39,000004
2015-07-30,1.28万,17.43,6541.5,-14.84,非常集中,29.01,19万,--,--,000004
2018-02-28,12.94万,-0.49,7349.3,0.49,非常集中,3.82,3万,--,--,000005
2018-01-31,13.01万,-1.08,7313.2,1.10,非常集中,4.03,3万,--,--,000005
2018-01-15,13.15万,-0.07,7233.9,0.07,非常集中,4.21,3万,--,--,000005
2017-12-29,13.16万,-0.17,7228.8,0.17,非常集中,4.14,3万,--,--,000005
2017-11-30,13.18万,-1.05,7216.8,1.06,非常集中,4.20,3万,--,--,000005
2017-11-15,13.32万,-2.25,7141.0,2.30,非常集中,4.64,3万,--,--,000005
2017-10-13,13.63万,0.39,6980.2,-0.39,非常集中,5.20,4万,--,--,000005
2017-09-30,13.57万,0.00,7007.7,0.00,非常集中,5.05,4万,30.87,24.38,000005
2017-09-29,13.57万,-1.79,7007.7,1.82,非常集中,5.05,4万,--,--,000005
2017-09-15,13.82万,3.80,6882.5,-3.66,非常集中,5.23,4万,--,--,000005
2017-09-30,8.05万,-2.37,1.7万,2.42,非常集中,9.85,16万,41.06,41.06,000006
2017-06-30,8.24万,4.07,1.6万,-3.89,非常集中,8.81,14万,40.94,40.94,000006
2017-03-31,7.92万,-2.00,1.7万,2.04,非常集中,8.28,14万,41.38,41.38,000006
2017-02-28,8.08万,-3.87,1.7万,4.03,非常集中,8.78,15万,--,--,000006
