日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2016-09-30,葛卫东,个人,A股,128275200,0.88%,不变,--,000001
2017-09-30,汪国新,个人,A股,1436407,1.73%,106368,8.00%,000004
2017-09-30,谢林波,个人,A股,1324247,1.60%,222047,20.15%,000004
2017-09-30,周建新,个人,A股,1072712,1.29%,不变,--,000004
2017-06-30,汪国新,个人,A股,1330039,1.60%,新进,--,000004
2017-06-30,谢林波,个人,A股,1102200,1.33%,新进,--,000004
2017-06-30,周建新,个人,A股,1072712,1.29%,不变,--,000004
2017-06-30,林倩羽,个人,A股,750000,0.90%,新进,--,000004
2017-03-31,陈权健,个人,A股,1251803,1.51%,新进,--,000004
2017-03-31,周建新,个人,A股,1072712,1.29%,不变,--,000004
2017-03-31,孙丽丽,个人,A股,567198,0.68%,新进,--,000004
2016-12-31,祝丽娜,个人,A股,1794961,2.16%,1401361,356.04%,000004
2016-12-31,周建新,个人,A股,1072712,1.29%,不变,--,000004
2016-09-30,周建新,个人,A股,1072712,1.29%,不变,--,000004
2016-09-30,祝丽娜,个人,A股,393600,0.47%,新进,--,000004
2017-09-30,林丹娜,个人,A股,20125613,2.12%,不变,--,000005
2017-09-30,陈子云,个人,A股,4369200,0.46%,新进,--,000005
2017-09-30,禹宙,个人,A股,3660000,0.38%,新进,--,000005
2017-06-30,林丹娜,个人,A股,20125613,2.12%,不变,--,000005
2017-06-30,陈昆柏,个人,A股,3323500,0.35%,423500,14.60%,000005
2017-03-31,林丹娜,个人,A股,20125613,2.12%,不变,--,000005
2017-03-31,董志云,个人,A股,3050000,0.32%,新进,--,000005
2017-03-31,陈昆柏,个人,A股,2900000,0.30%,新进,--,000005
2016-12-31,林丹娜,个人,A股,20125613,2.20%,不变,--,000005
2016-12-31,陈艳香,个人,A股,4242235,0.46%,818035,23.89%,000005
2016-09-30,林丹娜,个人,A股,20125613,2.20%,不变,--,000005
2016-09-30,梁碧玉,个人,A股,8310000,0.91%,-4745600,-36.35%,000005
2016-09-30,林丽群,个人,A股,7866613,0.86%,不变,--,000005
2016-09-30,郭俊文,个人,A股,4248600,0.46%,不变,--,000005
2016-09-30,陈艳香,个人,A股,3424200,0.37%,-906500,-20.93%,000005
2016-09-30,黄薇,个人,A股,2600000,0.28%,新进,--,000005
2017-09-30,聂智,个人,A股,7104876,0.53%,5000,0.07%,000006
2017-09-30,张德锋,个人,A股,6314900,0.47%,532600,9.21%,000006
2017-09-30,廖晔,个人,A股,4993300,0.37%,82900,1.69%,000006
2017-09-30,曾运龙,个人,A股,4518800,0.34%,30000,0.67%,000006
2017-06-30,聂智,个人,A股,7099876,0.53%,-11600,-0.16%,000006
2017-06-30,张德锋,个人,A股,5782300,0.43%,5100,0.09%,000006
2017-06-30,廖晔,个人,A股,4910400,0.37%,529100,12.08%,000006
2017-06-30,曾运龙,个人,A股,4488800,0.33%,新进,--,000006
2017-03-31,聂智,个人,A股,7111476,0.53%,8000,0.11%,000006
2017-03-31,江安东,个人,A股,6550000,0.49%,不变,--,000006
2017-03-31,张德锋,个人,A股,5777200,0.43%,210200,3.78%,000006
2017-03-31,廖晔,个人,A股,4381300,0.33%,446800,11.36%,000006
