日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,汪国新,个人,A股,1436407,1.73%,106368,8.00%,000004
2017-09-30,谢林波,个人,A股,1324247,1.60%,222047,20.15%,000004
2017-09-30,周建新,个人,A股,1072712,1.29%,不变,--,000004
2017-09-30,林丹娜,个人,A股,20125613,2.12%,不变,--,000005
2017-09-30,陈子云,个人,A股,4369200,0.46%,新进,--,000005
2017-09-30,禹宙,个人,A股,3660000,0.38%,新进,--,000005
2017-09-30,聂智,个人,A股,7104876,0.53%,5000,0.07%,000006
2017-09-30,张德锋,个人,A股,6314900,0.47%,532600,9.21%,000006
2017-09-30,廖晔,个人,A股,4993300,0.37%,82900,1.69%,000006
2017-09-30,曾运龙,个人,A股,4518800,0.34%,30000,0.67%,000006
2017-09-30,陈卓婷,个人,A股,13493872,4.37%,不变,--,000007
2017-09-30,王昕,个人,A股,6298001,2.04%,新进,--,000007
2017-09-30,陆炜,个人,A股,3271950,1.06%,不变,--,000007
2017-09-30,李颀,个人,A股,36162700,1.82%,-20000,-0.06%,000008
2017-09-30,欧阳学荣,个人,A股,14907933,0.70%,不变,--,000009
2017-09-30,吴海涛,个人,A股,12783229,0.60%,-15000,-0.12%,000009
2017-09-30,聂仁和,个人,A股,10223728,0.48%,不变,--,000009
2017-09-30,曾静,个人,A股,8518819,0.40%,不变,--,000009
2017-09-30,朱棣铭,个人,A股,6000000,0.28%,不变,--,000009
2017-09-30,罗学军,个人,A股,4855047,0.93%,不变,--,000010
2017-09-30,杜歆晔,个人,A股,3880800,1.59%,不变,--,000011
2017-09-30,周群,个人,A股,3115450,1.28%,不变,--,000011
2017-09-30,杜允丰,个人,A股,2323000,0.95%,不变,--,000011
2017-09-30,杨耀初,个人,B股,1410620,0.58%,90000,6.81%,000011
2017-09-30,麦富容,个人,B股,1330500,0.55%,-54300,-3.92%,000011
2017-09-30,高远雄,个人,A股,1140401,0.47%,新进,--,000011
2017-09-30,陈丽英,个人,B股,1102051,0.45%,不变,--,000011
2017-09-30,李京,个人,B股,962440,0.40%,不变,--,000011
2017-09-30,曹益凡,个人,B股,848000,0.35%,新进,--,000011
2017-09-30,陈贺香,个人,A股,2388501,1.18%,不变,--,000014
2017-09-30,张丽萍,个人,A股,1440000,0.71%,不变,--,000014
2017-09-30,钟晓玲,个人,A股,1377001,0.68%,新进,--,000014
2017-09-30,钟以隆,个人,A股,988000,0.49%,新进,--,000014
2017-09-30,王磊,个人,A股,37406339,1.55%,新进,--,000016
2017-09-30,NAM NGAI,个人,B股,22240040,0.92%,-295200,-1.31%,000016
2017-09-30,李惠丽,个人,B股,3891124,0.71%,不变,--,000017
2017-09-30,黄怀岸,个人,A股,10115000,0.99%,不变,--,000018
2017-09-30,蔡宇,个人,A股,9000000,0.88%,新进,--,000018
2017-09-30,孙慧明,个人,B股,3403262,0.73%,不变,--,000019
2017-09-30,胡祥主,个人,A股,1910000,0.41%,150000,8.52%,000019
2017-09-30,张岳,个人,A股,1392077,0.30%,1270,0.09%,000019
2017-09-30,李倩,个人,A股,1282678,0.27%,-149700,-10.45%,000019
2017-09-30,许砚慧,个人,A股,1072500,0.23%,不变,--,000019
2017-09-30,叶秀霞,个人,A股,1000230,0.21%,不变,--,000019
2017-09-30,徐东冬,个人,A股,1690307,0.60%,不变,--,000020
2017-09-30,周红兵,个人,A股,1221800,0.43%,不变,--,000020
2017-09-30,钟佳潮,个人,A股,1096300,0.39%,27800,2.60%,000020
2017-09-30,LI SHERYN ZHAN MING,个人,B股,1072802,0.38%,新进,--,000020
2017-09-30,柴长茂,个人,A股,21659397,1.47%,200,0.00%,000021
2017-09-30,周蓉,个人,A股,8000000,0.54%,181642,2.32%,000021
2017-09-30,郝双刚,个人,A股,3812001,0.26%,-72900,-1.88%,000021
2017-09-30,刘健楠,个人,A股,3000000,0.20%,-300000,-9.09%,000021
2017-09-30,李光鑫,个人,B股,761161,0.35%,不变,--,000025
2017-09-30,翁政文,个人,B股,574528,0.26%,-5000,-0.86%,000025
2017-09-30,何杏,个人,B股,300100,0.14%,不变,--,000025
2017-09-30,黄楚云,个人,B股,266500,0.12%,不变,--,000025
2017-09-30,曾惠明,个人,B股,250000,0.11%,-20000,-7.41%,000025
2017-09-30,徐美女,个人,A股,237400,0.11%,新进,--,000025
2017-09-30,林凤芳,个人,B股,216933,0.10%,不变,--,000025
2017-09-30,杨祖贵,个人,A股,7254069,1.65%,1352400,22.92%,000026
2017-09-30,朱武广,个人,A股,19013825,0.48%,540000,2.92%,000027
2017-09-30,卢志高,个人,A股,3246949,0.32%,不变,--,000029
2017-09-30,谭石庆,个人,A股,1286701,0.13%,不变,--,000029
2017-09-30,杨水莲,个人,A股,1273700,0.13%,不变,--,000029
2017-09-30,杨剑雄,个人,B股,1255750,0.12%,不变,--,000029
2017-09-30,彭伟,个人,A股,1129082,0.11%,不变,--,000029
2017-09-30,吴浩源,个人,B股,1109300,0.11%,不变,--,000029
2017-09-30,叶凡,个人,A股,6682188,0.52%,不变,--,000030
2017-09-30,洪卓斌,个人,A股,16703554,0.92%,831100,5.24%,000031
2017-09-30,张忱业,个人,A股,6605502,0.36%,不变,--,000031
2017-09-30,吕春玲,个人,A股,4622500,0.25%,不变,--,000031
2017-09-30,吴安,个人,A股,3700000,1.32%,不变,--,000032
2017-09-30,吴绮绯,个人,A股,2547300,0.91%,不变,--,000032
2017-09-30,郑礼灿,个人,A股,3394493,0.95%,不变,--,000034
2017-09-30,王维莉,个人,A股,2842034,0.79%,新进,--,000034
2017-09-30,江天,个人,A股,2787362,0.78%,-3212728,-53.54%,000034
2017-09-30,严圣军,个人,A股,23475307,2.01%,不变,--,000035
2017-09-30,吴强,个人,A股,8327600,0.71%,1051800,14.46%,000035
2017-09-30,陈薇,个人,A股,6500000,0.56%,-300000,-4.41%,000035
2017-09-30,于平,个人,A股,23136519,2.04%,11214000,94.06%,000036
2017-09-30,樊卫国,个人,A股,7596414,0.67%,不变,--,000036
2017-09-30,樊勇,个人,A股,5309270,0.47%,239604,4.73%,000036
2017-09-30,王志丰,个人,A股,4800000,0.42%,新进,--,000036
2017-09-30,陈英霞,个人,A股,3358700,0.30%,新进,--,000036
2017-09-30,曾颖,个人,B股,6331656,1.05%,282586,4.67%,000037
2017-09-30,张和平,个人,"A股,B股",5025900,0.83%,不变,--,000037
2017-09-30,李宝琴,个人,"A股,B股",3994100,0.66%,435586,12.24%,000037
2017-09-30,曹林芳,个人,A股,8766306,11.11%,3287364,60.00%,000038
2017-09-30,罗承,个人,A股,1618413,2.05%,606905,60.00%,000038
2017-09-30,蒋阳俊,个人,A股,1352837,1.72%,507314,60.00%,000038
2017-09-30,李勇,个人,A股,493633,0.63%,185112,60.00%,000038
2017-09-30,曾建平,个人,A股,462633,0.59%,173487,60.00%,000038
2017-09-30,高晖,个人,A股,4422000,0.66%,不变,--,000043
2017-09-30,王倩倩,个人,A股,3749300,0.56%,新进,--,000043
2017-09-30,王文霞,个人,A股,3330000,0.50%,不变,--,000043
2017-09-30,孙慧明,个人,B股,2396826,0.47%,-63400,-2.58%,000045
2017-09-30,刘东霞,个人,A股,1523900,0.30%,新进,--,000045
2017-09-30,苏运泽,个人,A股,1401500,0.28%,441500,45.99%,000045
2017-09-30,朱烨,个人,A股,1331945,0.26%,不变,--,000045
2017-09-30,王民仓,个人,A股,1280236,0.25%,-97000,-7.04%,000045
2017-09-30,洪帆,个人,A股,972400,0.19%,19800,2.08%,000045
2017-09-30,苏志芬,个人,A股,965200,0.19%,新进,--,000045
2017-09-30,黄木顺,个人,A股,140080889,2.75%,180800,0.13%,000046
2017-09-30,王世忱,个人,A股,8844680,2.29%,不变,--,000048
2017-09-30,罗豫西,个人,A股,8478326,2.20%,不变,--,000048
2017-09-30,高春雷,个人,A股,8447694,2.19%,不变,--,000048
2017-09-30,徐国义,个人,A股,9766705,0.70%,新进,--,000050
2017-09-30,周世坚,个人,A股,10000000,0.85%,-10000000,-50.00%,000055
2017-09-30,锺志强,个人,B股,21576850,4.08%,新进,--,000056
2017-09-30,刘国成,个人,B股,6891302,0.88%,61800,0.90%,000058
2017-09-30,张椒,个人,A股,4046989,0.52%,不变,--,000058
2017-09-30,刘国洪,个人,B股,3045839,0.39%,-129119,-4.07%,000058
2017-09-30,韩文霁,个人,A股,2980000,0.38%,新进,--,000058
2017-09-30,龚茜华,个人,B股,2940000,0.37%,不变,--,000058
2017-09-30,刘量,个人,A股,2206600,0.28%,新进,--,000058
2017-09-30,曹素丽,个人,A股,13067121,0.59%,新进,--,000060
2017-09-30,许育峰,个人,A股,17946220,1.06%,不变,--,000061
2017-09-30,刘建琪,个人,A股,2512186,0.38%,不变,--,000062
2017-09-30,易武,个人,A股,1827171,0.27%,不变,--,000062
2017-09-30,伍文彬,个人,A股,1512016,0.23%,新进,--,000062
2017-09-30,罗坚,个人,A股,1181496,0.18%,-1238467,-51.18%,000062
2017-09-30,张史莉,个人,A股,995600,0.15%,不变,--,000062
2017-09-30,孙惠刚,个人,A股,63956298,1.53%,-1842000,-2.80%,000063
2017-09-30,陈黎春,个人,A股,30136590,1.21%,7708080,34.37%,000066
2017-09-30,陈进平,个人,A股,7239000,0.81%,71100,0.99%,000068
2017-09-30,翁新跃,个人,A股,6041317,0.67%,1424000,30.84%,000068
2017-09-30,曹增保,个人,A股,3063000,0.34%,不变,--,000068
2017-09-30,付云峰,个人,A股,3060159,0.34%,不变,--,000068
2017-09-30,孙雪娟,个人,A股,2821930,0.31%,新进,--,000068
2017-09-30,王少熙,个人,A股,2688834,0.50%,新进,--,000070
2017-09-30,黄绮玉,个人,A股,2341816,0.43%,新进,--,000070
2017-09-30,李文泉,个人,A股,1630106,0.30%,新进,--,000070
2017-09-30,郑丽雅,个人,A股,14440000,0.70%,不变,--,000089
2017-09-30,林伟建,个人,A股,4212200,0.54%,593249,16.39%,000090
2017-09-30,胡殿君,个人,A股,4095124,0.53%,-30000,-0.73%,000090
2017-09-30,蔡少雄,个人,A股,3700000,0.48%,新进,--,000090
2017-09-30,古素银,个人,A股,3610140,0.47%,新进,--,000090
2017-09-30,黄木标,个人,A股,9786223,1.92%,不变,--,000096
2017-09-30,连晓燕,个人,A股,7189761,1.41%,不变,--,000096
2017-09-30,方锡林,个人,A股,7181553,1.41%,不变,--,000096
2017-09-30,蔡世潮,个人,A股,6778134,1.33%,不变,--,000096
2017-09-30,楼文胜,个人,A股,9851665,1.63%,不变,--,000099
2017-09-30,蒋进进,个人,A股,3293600,0.54%,不变,--,000099
2017-09-30,李涛,个人,A股,2688900,0.44%,不变,--,000099
2017-09-30,李东生,个人,A股,159568422,1.77%,不变,--,000100
2017-09-30,林正刚,个人,A股,13663580,3.86%,不变,--,000150
2017-09-30,李岳雄,个人,A股,5846181,1.65%,1400000,31.49%,000150
2017-09-30,代妙琼,个人,A股,5399123,1.53%,新进,--,000150
2017-09-30,杜一,个人,A股,894500,0.34%,不变,--,000151
2017-09-30,王增章,个人,A股,861300,0.32%,不变,--,000151
2017-09-30,邱东,个人,A股,846300,0.32%,不变,--,000151
2017-09-30,付秀珍,个人,A股,728100,0.27%,新进,--,000151
2017-09-30,韩燕,个人,A股,676500,0.25%,96500,16.64%,000151
2017-09-30,温建南,个人,A股,609000,0.23%,新进,--,000151
2017-09-30,邢念健,个人,A股,572800,0.21%,新进,--,000151
2017-09-30,曾纪锋,个人,A股,2917300,0.94%,451252,18.30%,000153
2017-09-30,胡海洋,个人,A股,1400000,0.45%,不变,--,000153
2017-09-30,张淑敏,个人,A股,1350000,0.43%,新进,--,000153
2017-09-30,谭益洋,个人,A股,1158800,0.37%,新进,--,000153
2017-09-30,施玮,个人,A股,6075000,0.61%,不变,--,000156
2017-09-30,刘沿阳,个人,A股,4172031,0.42%,380800,10.04%,000156
2017-09-30,俞振军,个人,A股,9956961,0.98%,6843761,219.83%,000158
2017-09-30,吴惠霞,个人,A股,9040132,0.89%,5145677,132.13%,000158
2017-09-30,周永生,个人,A股,8527686,0.84%,2931197,52.38%,000158
2017-09-30,徐俊,个人,A股,8248019,0.81%,新进,--,000158
2017-09-30,查振松,个人,A股,6651850,0.66%,2832050,74.14%,000158
2017-09-30,唐勇辉,个人,A股,5150927,0.51%,1673327,48.12%,000158
2017-09-30,郑东信,个人,A股,5050800,0.50%,935870,22.74%,000158
2017-09-30,袁建良,个人,A股,2170000,0.45%,70000,3.33%,000159
2017-09-30,陆继东,个人,A股,1699300,0.35%,22600,1.35%,000159
2017-09-30,刘长源,个人,A股,1370608,0.28%,14300,1.05%,000159
2017-09-30,徐冬水,个人,A股,1320000,0.27%,40000,3.13%,000159
2017-09-30,袁英,个人,A股,1162000,0.24%,不变,--,000159
2017-09-30,黄镇雄,个人,A股,1084800,0.23%,新进,--,000159
2017-09-30,许温华,个人,A股,1038600,0.22%,新进,--,000159
2017-09-30,郑伟,个人,A股,961800,0.20%,不变,--,000159
2017-09-30,谢士臣,个人,A股,3955000,0.32%,不变,--,000301
2017-09-30,黄洁,个人,A股,2844700,0.23%,不变,--,000301
2017-09-30,于英,个人,A股,2240000,0.18%,不变,--,000301
2017-09-30,李军照,个人,A股,1957300,0.16%,不变,--,000301
2017-09-30,黄健,个人,A股,87980000,1.39%,不变,--,000333
2017-09-30,袁利群,个人,A股,74365200,1.17%,379000,0.51%,000333
2017-09-30,付璇,个人,A股,68005680,1.07%,-8000,-0.01%,000333
2017-09-30,栗建伟,个人,A股,64144834,1.01%,不变,--,000333
2017-09-30,费占军,个人,A股,3433000,1.71%,17300,0.51%,000403
2017-09-30,李欣立,个人,A股,2800000,1.39%,不变,--,000403
2017-09-30,张寿清,个人,A股,2000000,0.99%,不变,--,000403
2017-09-30,王辉,个人,A股,5113282,0.74%,268071,5.53%,000404
2017-09-30,王芳,个人,A股,2849800,0.41%,新进,--,000404
2017-09-30,林细彬,个人,A股,2783975,0.40%,新进,--,000404
2017-09-30,孙冠杰,个人,A股,10600000,1.59%,不变,--,000407
2017-09-30,陶树宇,个人,A股,8053131,1.21%,209200,2.67%,000407
2017-09-30,苏枝桓,个人,A股,5023199,0.75%,310000,6.58%,000407
2017-09-30,曹立芳,个人,A股,3759322,0.56%,559900,17.50%,000407
2017-09-30,林秀伟,个人,A股,3500000,0.53%,800000,29.63%,000407
2017-09-30,李明,个人,A股,33996752,10.85%,新进,--,000408
2017-09-30,代小清,个人,A股,11277700,3.60%,-1002300,-8.16%,000408
2017-09-30,郑汉朝,个人,A股,7283374,2.32%,新进,--,000408
2017-09-30,李爽,个人,A股,5036900,1.61%,新进,--,000408
2017-09-30,倪再潮,个人,A股,4070000,1.30%,新进,--,000408
2017-09-30,胡爱松,个人,A股,2887572,0.73%,新进,--,000409
2017-09-30,李婷婷,个人,A股,2065779,0.52%,不变,--,000409
2017-09-30,陈芹燕,个人,A股,2016740,0.51%,-540000,-21.12%,000409
2017-09-30,张伟明,个人,A股,1909910,0.48%,新进,--,000409
2017-09-30,丁丽莎,个人,A股,3000049,0.41%,新进,--,000410
2017-09-30,钟振鑫,个人,A股,2300000,0.31%,-2294000,-49.93%,000410
2017-09-30,叶晶,个人,A股,1921200,0.26%,155300,8.79%,000410
2017-09-30,陈海华,个人,A股,1666900,0.23%,新进,--,000410
2017-09-30,吴金彪,个人,A股,1505101,0.20%,不变,--,000410
2017-09-30,蔡少斌,个人,A股,1478700,0.20%,新进,--,000410
2017-09-30,鞠钱,个人,A股,8784700,1.65%,-173800,-1.94%,000416
2017-09-30,周建国,个人,A股,4929900,0.93%,不变,--,000416
2017-09-30,张玉敏,个人,A股,2800000,0.53%,不变,--,000416
2017-09-30,邱伟豪,个人,A股,2313185,0.44%,362700,18.60%,000416
2017-09-30,陈天虹,个人,A股,2200100,0.41%,429900,24.29%,000416
2017-09-30,尹玉臻,个人,A股,1860000,0.35%,新进,--,000416
2017-09-30,昝圣达,个人,A股,17130000,2.20%,-260000,-1.50%,000417
2017-09-30,熊德宏,个人,A股,9220626,1.70%,163548,1.81%,000419
2017-09-30,朱小妹,个人,A股,5652367,1.04%,不变,--,000419
2017-09-30,李志鹤,个人,A股,5584544,1.03%,不变,--,000419
2017-09-30,李怡名,个人,A股,5032884,0.93%,不变,--,000419
2017-09-30,丁碧霞,个人,A股,4782107,0.88%,不变,--,000419
2017-09-30,陶美英,个人,A股,4363078,0.80%,506198,13.12%,000419
2017-09-30,李荣,个人,A股,7863300,0.80%,-8200,-0.10%,000420
2017-09-30,封艳,个人,A股,4563300,0.46%,252300,5.85%,000420
2017-09-30,卞勍,个人,A股,4216385,0.43%,新进,--,000420
2017-09-30,杨茁,个人,A股,3637000,0.37%,不变,--,000420
2017-09-30,李恩女,个人,A股,3626000,0.37%,不变,--,000420
2017-09-30,唐慧康,个人,A股,4649827,1.19%,-33218,-0.71%,000421
2017-09-30,胡志平,个人,A股,4486000,1.14%,543400,13.78%,000421
2017-09-30,倪思礼,个人,A股,2139400,0.55%,新进,--,000421
2017-09-30,王霞,个人,A股,5043625,0.56%,-33778,-0.67%,000422
2017-09-30,胡茂响,个人,A股,4153500,0.46%,新进,--,000422
2017-09-30,俞峰,个人,A股,3591899,0.40%,新进,--,000422
2017-09-30,谷耀山,个人,A股,3021766,0.34%,新进,--,000422
2017-09-30,张朝阳,个人,A股,5284700,0.74%,230000,4.55%,000428
2017-09-30,赵立巍,个人,A股,2605000,0.36%,不变,--,000428
2017-09-30,刁守伟,个人,A股,2514795,0.35%,不变,--,000428
2017-09-30,李峻,个人,A股,2143961,0.30%,不变,--,000428
2017-09-30,魏学利,个人,A股,2110060,0.29%,不变,--,000428
2017-09-30,王燕,个人,A股,2100000,0.29%,新进,--,000428
2017-09-30,陈琦,个人,A股,1978952,0.28%,新进,--,000428
2017-09-30,冯梧初,个人,"A股,B股",21438522,2.62%,-286275,-1.32%,000429
2017-09-30,刘红波,个人,A股,1879505,0.90%,50000,2.73%,000430
2017-09-30,苏文强,个人,A股,1726200,0.83%,-130200,-7.01%,000430
2017-09-30,张恒毓,个人,A股,1353200,0.65%,不变,--,000430
2017-09-30,金幸,个人,B股,7630100,0.40%,220000,2.97%,000488
2017-09-30,黄美珠,个人,A股,11359415,1.70%,473177,4.35%,000501
2017-09-30,纪正祥,个人,A股,1389500,0.76%,新进,--,000502
