,日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2857,2017-09-30,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,14086783,0.69%,新进,--,000089
3348,2017-09-30,香港中央结算(代理人)有限公司(HKSCC NOMINEES LIMITED),其它,H股,1385744523,18.20%,27580,0.00%,000157
3352,2017-09-30,佳卓集团有限公司(GOOD EXCEL GROUP LIMITED),其它,A股,168635680,2.21%,不变,--,000157
3358,2017-06-30,香港中央结算(代理人)有限公司(HKSCC NOMINEES LIMITED),其它,H股,1385716943,18.20%,2780,0.00%,000157
3362,2017-06-30,佳卓集团有限公司(GOOD EXCEL GROUP LIMITED),其它,A股,168635680,2.21%,不变,--,000157
3368,2017-03-31,香港中央结算(代理人)有限公司(HKSCC NOMINEES LIMITED),其它,H股,1385714163,18.11%,123680,0.01%,000157
3372,2017-03-31,佳卓集团有限公司(GOOD EXCEL GROUP LIMITED),其它,A股,168635680,2.20%,不变,--,000157
3378,2016-12-31,香港中央结算(代理人)有限公司(HKSCC NOMINEES LIMITED),其它,H股,1385590483,18.11%,-15320,0.00%,000157
3382,2016-12-31,佳卓集团有限公司(GOOD EXCEL GROUP LIMITED) ,其它,A股,168635680,2.20%,不变,--,000157
3388,2016-09-30,香港中央结算(代理人)有限公司(HKSCC NOMINEES LIMITED),其它,H股,1385605803,18.10%,1160,0.00%,000157
3392,2016-09-30,佳卓集团有限公司(GOOD EXCEL GROUP LIMITED),其它,A股,168635680,2.20%,不变,--,000157
3601,2017-09-30,高瓴资本管理有限公司-HCM中国基金,QFII,A股,113891138,1.80%,不变,--,000333
3605,2017-09-30,UBS AG(瑞银集团),QFII,A股,72468364,1.14%,3213757,4.64%,000333
3611,2017-06-30,高瓴资本管理有限公司-HCM中国基金,QFII,A股,113891138,1.81%,不变,--,000333
3615,2017-06-30,UBS AG(瑞银集团),QFII,A股,69254607,1.10%,新进,--,000333
3621,2017-03-31,高瓴资本管理有限公司-HCM中国基金,QFII,A股,113891138,1.84%,不变,--,000333
3630,2016-12-31,高瓴资本管理有限公司-HCM中国基金,QFII,A股,113891138,1.84%,不变,--,000333
3637,2016-12-31,UBSAG(瑞银集团),QFII,A股,65421047,1.06%,新进,--,000333
3640,2016-09-30,高瓴资本管理有限公司-HCM中国基金,QFII,A股,113891138,1.86%,44000000,62.96%,000333
3650,2017-09-30,奥地利IVM技术咨询维也纳有限公司,其它,A股,147250000,2.35%,72710000,97.54%,000338
3660,2017-06-30,奥地利IVM技术咨询维也纳有限公司,其它,A股,74540000,2.38%,-1740000,-2.28%,000338
3670,2017-03-31,奥地利IVM技术咨询维也纳有限公司,其它,A股,76280000,2.44%,-920000,-1.19%,000338
3680,2016-12-31,奥地利IVM技术咨询维也纳有限公司,其它,A股,77200000,2.47%,-2000000,-2.53%,000338
3690,2016-09-30,奥地利IVM技术咨询维也纳有限公司,其它,A股,79200000,2.53%,不变,--,000338
9393,2017-06-30,上海呈瑞投资管理有限公司-念空多策略一号E基金,投资公司,A股,3994400,1.48%,428986,12.03%,000609
9402,2017-03-31,上海呈瑞投资管理有限公司-念空多策略一号E基金,投资公司,A股,3565414,1.34%,新进,--,000609
10732,2017-09-30,高瓴资本管理有限公司-HCM中国基金,QFII,A股,50457100,0.85%,不变,--,000651
10741,2017-06-30,高瓴资本管理有限公司-HCM中国基金,QFII,A股,50457100,0.85%,不变,--,000651
