2018-05-21,2.52亿,1.47%,1.49%,定向增发机构配售股份,000001
2018-12-31,1.07亿,10.08%,11.22%,定向增发机构配售股份,000005
2018-03-21,2059.61万,0.73%,0.78%,定向增发机构配售股份,000008
2018-06-19,431.16万,0.15%,0.16%,股权激励限售股份,000008
2018-11-21,962.57万,0.34%,0.36%,股权激励限售股份,000008
2018-12-10,30.00万,0.01%,0.01%,股权激励限售股份,000008
2019-03-21,4119.22万,1.46%,1.56%,定向增发机构配售股份,000008
2019-06-19,323.37万,0.11%,0.12%,股权激励限售股份,000008
2019-11-21,962.57万,0.34%,0.36%,股权激励限售股份,000008
2019-12-09,30.00万,0.01%,0.01%,股权激励限售股份,000008
2020-06-19,323.37万,0.11%,0.12%,股权激励限售股份,000008
2020-11-23,962.57万,0.34%,0.36%,股权激励限售股份,000008
2020-12-09,30.00万,0.01%,0.01%,股权激励限售股份,000008
2018-11-06,5159.03万,6.29%,9.88%,定向增发机构配售股份,000010
2018-12-11,3900.47万,1.57%,2.58%,股权激励限售股份,000012
2019-12-11,2925.35万,1.18%,1.94%,股权激励限售股份,000012
2020-12-11,2925.35万,1.18%,1.94%,股权激励限售股份,000012
2018-10-15,5.82亿,34.26%,77.18%,定向增发机构配售股份,000018
2018-11-27,9847.56万,5.80%,13.06%,定向增发机构配售股份,000018
2018-03-26,7700.00万,25.90%,39.71%,定向增发机构配售股份,000025
2020-01-06,6549.50万,15.30%,21.28%,定向增发机构配售股份,000028
2018-12-31,1.43亿,33.82%,51.11%,定向增发机构配售股份,000032
2019-03-04,2.96亿,45.27%,82.72%,定向增发机构配售股份,000034
2018-07-26,1.13亿,8.36%,9.67%,定向增发机构配售股份,000035
2018-06-11,474.00万,0.42%,0.42%,股权激励限售股份,000036
2018-06-25,90.00万,0.08%,0.08%,股权激励限售股份,000036
2019-01-22,7588.14万,14.52%,96.20%,定向增发机构配售股份,000038
2019-07-01,2.15亿,41.22%,273.17%,定向增发机构配售股份,000038
2020-01-21,1533.38万,2.93%,19.44%,定向增发机构配售股份,000038
2019-07-29,2.74亿,20.49%,25.84%,定向增发机构配售股份,000040
2018-12-28,1.77亿,26.60%,36.24%,定向增发机构配售股份,000042
2019-12-27,190.09万,0.37%,0.42%,股权激励限售股份,000045
2020-12-28,142.57万,0.28%,0.31%,股权激励限售股份,000045
2021-12-27,142.57万,0.28%,0.31%,股权激励限售股份,000045
2019-02-01,9583.33万,1.84%,1.88%,定向增发机构配售股份,000046
2019-02-04,4.28亿,20.89%,30.54%,定向增发机构配售股份,000050
2021-02-02,2.19亿,10.70%,15.64%,定向增发机构配售股份,000050
2018-08-07,826.82万,0.70%,2.89%,股权激励限售股份,000056
2018-09-10,6.18亿,52.55%,215.87%,定向增发机构配售股份,000056
2019-08-07,826.82万,0.70%,2.89%,股权激励限售股份,000056
2020-08-07,1102.42万,0.94%,3.85%,股权激励限售股份,000056
2020-09-07,4.51亿,36.49%,83.76%,定向增发机构配售股份,000058
2018-07-04,1.67亿,7.02%,7.56%,定向增发机构配售股份,000060
2018-11-12,5436.70万,7.54%,8.15%,定向增发机构配售股份,000062
2018-06-15,1104.69万,2.15%,2.71%,定向增发机构配售股份,000065
