shareholder,value,percent,share_type,share_code
中国证券金融股份有限公司,462172119,2.692,流通A股,000001
中央汇金资产管理有限责任公司,216213000,1.259,流通A股,000001
深圳中电投资股份有限公司,186051938,1.084,流通A股,000001
香港中央结算有限公司,155583946,0.906,流通A股,000001
深圳市正顺资本控股有限公司,106686426,0.621,流通A股,000001
深圳市地铁集团有限公司,3242810791,29.376,流通A股,000002
HKSCCNOMINEESLIMITED,1314910949,11.911,境外可流通股,000002
深圳市钜盛华股份有限公司,926070472,8.389,流通A股,000002
深圳中农大科技投资有限公司,23864667,28.418,流通A股,000004
北京紫光通信科技集团有限公司,1954194,2.327,流通A股,000004
紫光集团有限公司,778491,0.927,流通A股,000004
中国投资有限公司,184240445,17.405,流通A股,000005
深圳市城市建设开发(集团)有限公司,18281900,1.727,流通A股,000005
深圳市博睿意碳源科技有限公司,7088597,0.670,流通A股,000005
新疆盘古大业股权投资有限合伙企业,6575342,0.621,流通A股,000005
浙江赛盛投资合伙企业(有限合伙),5260274,0.497,流通A股,000005
杭州钱江中小企业创业投资有限公司,4331000,0.409,流通A股,000005
深圳市人民政府国有资产监督管理委员会,296031373,21.928,流通A股,000006
深圳市远致投资有限公司,162966811,12.072,流通A股,000006
中央汇金资产管理有限责任公司,47368200,3.509,流通A股,000006
北京泓钧资产管理有限公司,46858500,13.525,流通A股,000007
深圳前海圆融通达投资企业(有限合伙),25708327,7.421,流通A股,000007
北京朴和恒丰投资有限公司,10681711,3.083,流通A股,000007
广州博融投资有限公司,6046839,1.745,流通A股,000007
北京电子城有限责任公司,3615000,1.043,流通A股,000007
北京市海淀区国有资产投资经营有限公司,350000000,12.416,流通A股,000008
杭州霁云投资管理合伙企业(有限合伙),141534348,5.021,流通A股,000008
北京银叶金光投资合伙企业(有限合伙),140000000,4.966,流通A股,000008
北京国润贵真创业投资中心(有限合伙),70000000,2.483,流通A股,000008
深圳市富安控股有限公司,256013898,11.911,流通A股,000009
深圳市宝安区投资管理有限公司,119787377,5.573,流通A股,000009
浙江诸暨华恒投资管理有限公司,9903300,0.461,流通A股,000009
深圳市荣超投资发展有限公司,7638727,0.355,流通A股,000009
信达投资有限公司,29498232,3.598,流通A股,000010
新余瑞达投资有限公司,27203185,3.318,流通A股,000010
拉萨鑫宏雅投资咨询有限公司,15017000,1.832,流通A股,000010
宁波市星通投资管理有限公司,14275000,1.741,流通A股,000010
中国证券金融股份有限公司,3472621,0.424,流通A股,000010
深圳市建设投资控股公司,29798954,5.000,流通A股,000011
深圳市钜盛华股份有限公司,68484938,2.870,流通A股,000012
中央汇金资产管理有限责任公司,45782995,1.918,流通A股,000012
中国银河国际证券(香港)有限公司,32176044,1.348,流通B股,000012
招商证券香港有限公司,26108208,1.094,流通B股,000012
中国北方工业公司,23600000,0.989,流通A股,000012
深国际控股(深圳)有限公司,23000000,0.964,流通A股,000012
深业沙河(集团)有限公司,68613391,34.017,流通A股,000014
华侨城集团公司,523746932,21.751,流通A股,000016
中信证券经纪(香港)有限公司,182100202,7.562,流通B股,000016
HOLYTIMEGROUPLIMITED,56049824,2.328,流通B股,000016
国元证券经纪(香港)有限公司,54755145,2.274,流通B股,000016
招商证券香港有限公司,22502120,0.934,流通B股,000016
NAMNGAI,22240040,0.924,流通B股,000016
CSICapitalManagementLimited,20050928,0.833,流通B股,000016
深圳市国晟能源投资发展有限公司,63508747,11.519,流通A股,000017
大华继显(香港)有限公司,15907850,2.885,流通B股,000017
国信证券(香港)经纪有限公司,13988425,2.537,流通B股,000017
申万宏源证券(香港)有限公司,6043657,1.096,流通B股,000017
华联控股股份有限公司,87935921,5.178,流通A股,000018
华泰证券股份有限公司,29792520,1.754,流通A股,000018
富冠投资有限公司,23235313,1.368,流通B股,000018
中国国际金融股份有限公司,19955594,1.175,流通A股,000018
青海合一实业发展有限公司,13357084,0.787,流通A股,000018
