shareholder,value,percent,share_type,share_code
shareholder,value,percent,share_type,share_code
中欧基金-农业银行-中欧中证金融资产管理计划,63731160,0.371,流通A股,000001
南方基金-农业银行-南方中证金融资产管理计划,63731160,0.371,流通A股,000001
西部利得基金-建设银行-西部利得金裕1号资产管理计划,225494379,2.043,流通A股,000002
中科汇通(深圳)股权投资基金有限公司,9518376,11.335,流通A股,000004
上海泽添资产管理中心(有限合伙)-泽熙投资基金1号私募投资基金,4149516,0.392,流通A股,000005
中国农业银行股份有限公司-易方达瑞惠灵活配置混合型发起式证券投资基金,14598400,1.081,流通A股,000006
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金,6167272,0.457,流通A股,000006
南方基金-建设银行-中国人寿-中国人寿委托南方基金混合型组合,4302904,0.319,流通A股,000006
上海豪石九鼎股权投资基金合伙企业(有限合伙),46676226,1.656,流通A股,000008
平安大华基金-平安银行-平安大华平安金橙财富102号资产管理计划,38822185,1.377,流通A股,000008
BBHA/CVANGUARDEMERGINGMARKETSSTOCKINDEXFUND,15272911,0.640,流通B股,000012
中科汇通(深圳)股权投资基金有限公司,23220055,11.512,流通A股,000014
北京神州牧投资基金管理有限公司-泽泉神州牧六号证券投资基金,1070712,0.531,流通A股,000014
"GAOLINGFUND,L.P.",52801250,2.193,流通B股,000016
中国银行-海富通收益增长证券投资基金,16558178,0.975,流通A股,000018
中国建设银行股份有限公司-融通互联网传媒灵活配置混合型证券投资基金,2794139,0.987,流通A股,000020
中国建设银行股份有限公司-融通领先成长混合型证券投资基金(LOF),1536962,0.543,流通A股,000020
全国社保基金一零五组合,10084111,0.685,流通A股,000021
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,3139564,0.213,流通A股,000021
BBHA/CVANGUARDEMERGINGMARKETSSTOCKINDEXFUND,2617518,0.406,流通B股,000022
VANGUARDTOTALINTERNATIONALSTOCKINDEXFUND,1530596,0.237,流通B股,000022
九泰基金-广发银行-昆仑分级1号资产管理计划,3622565,2.611,流通A股,000023
九泰基金-广发银行-九泰基金-永乐分级2号资产管理计划,3000281,2.162,流通A股,000023
泰达宏利基金-民生银行-泰达宏利价值成长定向增发351号资产管理计划,5043559,1.150,流通A股,000026
金鹰基金-民生银行-金鹰温氏筠业灵活配置3号资产管理计划,4674329,1.065,流通A股,000026
嘉实新机遇灵活配置混合型发起式证券投资基金,10223657,0.258,流通A股,000027
